scope,depth,question,question_name,answer,severity,count,total,pct
q1_yes_only_q2_q8,1,Q2,mask_missing,모두 포함함,good,5087,6030,84.36
q1_yes_only_q2_q8,1,Q2,mask_missing,약간 놓침,soft,706,6030,11.71
q1_yes_only_q2_q8,1,Q2,mask_missing,판단불가,soft,5,6030,0.08
q1_yes_only_q2_q8,1,Q2,mask_missing,많이 놓침,critical,232,6030,3.85
q1_yes_only_q2_q8,1,Q3,mask_extra,포함하지 않음,good,5521,6030,91.56
q1_yes_only_q2_q8,1,Q3,mask_extra,약간 포함,soft,393,6030,6.52
q1_yes_only_q2_q8,1,Q3,mask_extra,판단불가,soft,18,6030,0.3
q1_yes_only_q2_q8,1,Q3,mask_extra,많이 포함,critical,98,6030,1.63
q1_yes_only_q2_q8,1,Q4,instance_separation,정확,good,5713,6030,94.74
q1_yes_only_q2_q8,1,Q4,instance_separation,수용 가능,soft,218,6030,3.62
q1_yes_only_q2_q8,1,Q4,instance_separation,판단불가,soft,2,6030,0.03
q1_yes_only_q2_q8,1,Q4,instance_separation,부정확,critical,83,6030,1.38
q1_yes_only_q2_q8,1,Q4,instance_separation,실패,critical,14,6030,0.23
q1_yes_only_q2_q8,1,Q5,mask_quality,정확,good,5000,6030,82.92
q1_yes_only_q2_q8,1,Q5,mask_quality,수용 가능,soft,899,6030,14.91
q1_yes_only_q2_q8,1,Q5,mask_quality,판단불가,soft,4,6030,0.07
q1_yes_only_q2_q8,1,Q5,mask_quality,부정확,critical,121,6030,2.01
q1_yes_only_q2_q8,1,Q5,mask_quality,실패,critical,6,6030,0.1
q1_yes_only_q2_q8,1,Q6,decomposition_nonleaf,없음,good,3125,3320,94.13
q1_yes_only_q2_q8,1,Q6,decomposition_nonleaf,조금 있음,soft,140,3320,4.22
q1_yes_only_q2_q8,1,Q6,decomposition_nonleaf,판단불가,soft,18,3320,0.54
q1_yes_only_q2_q8,1,Q6,decomposition_nonleaf,많이 있음,critical,37,3320,1.11
q1_yes_only_q2_q8,1,Q7,missing_child_nonleaf,없음,good,3002,3320,90.42
q1_yes_only_q2_q8,1,Q7,missing_child_nonleaf,조금 있음,soft,286,3320,8.61
q1_yes_only_q2_q8,1,Q7,missing_child_nonleaf,판단불가,soft,11,3320,0.33
q1_yes_only_q2_q8,1,Q7,missing_child_nonleaf,많이 있음,critical,21,3320,0.63
q1_yes_only_q2_q8,1,Q8,leaf_stop,예,good,2629,2710,97.01
q1_yes_only_q2_q8,1,Q8,leaf_stop,판단불가,soft,2,2710,0.07
q1_yes_only_q2_q8,1,Q8,leaf_stop,아니오,critical,79,2710,2.92
q1_yes_only_q2_q8,2,Q2,mask_missing,모두 포함함,good,6893,9898,69.64
q1_yes_only_q2_q8,2,Q2,mask_missing,약간 놓침,soft,1875,9898,18.94
q1_yes_only_q2_q8,2,Q2,mask_missing,판단불가,soft,12,9898,0.12
q1_yes_only_q2_q8,2,Q2,mask_missing,많이 놓침,critical,1118,9898,11.3
