scope,question,question_name,answer,mean_pct,stddev_pct_population,min_pct,max_pct
all_answers,Q1,label_exists,예,92.85 ,2.14 ,87.46 ,95.83 
all_answers,Q1,label_exists,판단불가,2.00 ,1.68 ,0.22 ,7.30 
all_answers,Q1,label_exists,아니오,5.15 ,1.47 ,2.52 ,8.01 
all_answers,Q2,mask_missing,모두 포함함,66.66 ,5.02 ,59.73 ,76.26 
all_answers,Q2,mask_missing,약간 놓침,17.17 ,3.83 ,11.10 ,27.81 
all_answers,Q2,mask_missing,판단불가,6.89 ,2.46 ,1.50 ,12.54 
all_answers,Q2,mask_missing,많이 놓침,9.28 ,3.64 ,4.75 ,18.61 
all_answers,Q3,mask_extra,포함하지 않음,81.98 ,3.96 ,73.76 ,90.04 
all_answers,Q3,mask_extra,약간 포함,8.44 ,2.20 ,4.84 ,12.96 
all_answers,Q3,mask_extra,판단불가,6.93 ,2.48 ,1.34 ,12.47 
all_answers,Q3,mask_extra,많이 포함,2.65 ,2.31 ,0.27 ,9.17 
all_answers,Q4,instance_separation,정확,85.32 ,7.94 ,69.47 ,94.64 
all_answers,Q4,instance_separation,수용 가능,5.32 ,4.50 ,0.22 ,14.34 
all_answers,Q4,instance_separation,판단불가,6.90 ,2.51 ,1.42 ,12.69 
all_answers,Q4,instance_separation,부정확,2.19 ,2.30 ,0.14 ,9.06 
all_answers,Q4,instance_separation,실패,0.28 ,0.51 ,0.00 ,2.29 
all_answers,Q5,mask_quality,정확,73.74 ,10.79 ,51.81 ,94.13 
all_answers,Q5,mask_quality,수용 가능,15.68 ,9.45 ,0.00 ,35.50 
all_answers,Q5,mask_quality,판단불가,6.89 ,2.52 ,1.26 ,12.69 
all_answers,Q5,mask_quality,부정확,3.23 ,2.06 ,0.17 ,8.64 
all_answers,Q5,mask_quality,실패,0.46 ,0.66 ,0.00 ,2.39 
all_answers,Q6,decomposition_nonleaf,없음,91.25 ,6.23 ,71.53 ,98.51 
all_answers,Q6,decomposition_nonleaf,조금 있음,4.80 ,4.57 ,0.25 ,18.75 
all_answers,Q6,decomposition_nonleaf,판단불가,2.65 ,1.60 ,0.22 ,7.05 
all_answers,Q6,decomposition_nonleaf,많이 있음,1.30 ,1.85 ,0.00 ,6.94 
all_answers,Q7,missing_child_nonleaf,없음,89.74 ,9.01 ,63.90 ,98.79 
all_answers,Q7,missing_child_nonleaf,조금 있음,7.16 ,8.02 ,0.00 ,30.03 
all_answers,Q7,missing_child_nonleaf,판단불가,2.51 ,1.32 ,0.22 ,5.80 
