id,image_id,tree_issue_severity,answer_overall_consistency,answer_missing_critical_nodes,summary_comment
user9,000000012756,critical,대체로 맞음,많이 있음,
user9,000000012570,critical,대체로 맞음,많이 있음,
user9,000000012488,critical,대체로 맞음,많이 있음,
user9,000000012472,critical,대체로 맞음,많이 있음,
user7,000000012166,critical,대체로 맞음,많이 있음,
user7,000000012146,critical,부분적으로 맞음,많이 있음,
user7,000000012115,critical,대체로 맞음,많이 있음,
user7,000000012079,critical,맞음,많이 있음,
user7,000000012047,critical,대체로 맞음,많이 있음,
user7,000000012010,critical,맞음,많이 있음,
user7,000000011925,critical,부분적으로 맞음,많이 있음,
user6,000000011702,critical,맞음,많이 있음,
user6,000000011677,critical,대체로 맞음,많이 있음,
user6,000000011638,critical,맞음,많이 있음,
user5,000000011505,critical,대체로 맞음,많이 있음,"여러운 사진.  나름 선방했으나 Book을 많이, 한꺼번에 인식 못한것이 아쉽다."
user5,000000011449,critical,대체로 맞음,많이 있음,"head에 neck과 hair가 있었으면 좋았을 것 같다. 남은 영역은 아쉽다.
그래도 좋다."
user4,000000011233,critical,대체로 맞음,많이 있음,"tree 와  pavilion 기단부가 segmentation에서 제외됨
"
user4,000000011223,critical,부분적으로 맞음,많이 있음,
user4,000000011188,critical,맞음,많이 있음,잎 객체 인식이 어려움은 인정하며 그럼에도 불구하고 판단 기준이 모호하게 분류됨
user3,000000011010,critical,대체로 맞음,많이 있음,
user3,000000010900,critical,대체로 맞음,많이 있음,
user3,000000010769,critical,대체로 맞음,많이 있음,
user3,000000010733,critical,대체로 맞음,많이 있음,
user3,000000010716,critical,부분적으로 맞음,많이 있음,벽과 하늘을 못잡는다
user20,000000015830,critical,대체로 맞음,많이 있음,
user20,000000015733,critical,대체로 맞음,많이 있음,
user2,000000010615,critical,맞음,많이 있음,야자수가 생각보다 많이 버려졌음
user2,000000010498,critical,부분적으로 맞음,많이 있음,
user2,000000010496,critical,대체로 맞음,많이 있음,
user2,000000010471,critical,대체로 맞음,많이 있음,"뒷부분 수풀, 나무 영역들이 과반이 넘게 버려짐"
user2,000000010449,critical,대체로 맞음,많이 있음,돌은 뭐 거의 잡지를 못하네요
user19,000000015644,critical,대체로 맞음,많이 있음,
user19,000000015621,critical,부분적으로 맞음,많이 있음,
user19,000000015619,critical,부분적으로 맞음,많이 있음,
user19,000000015618,critical,아님,많이 있음,
user19,000000015595,critical,대체로 맞음,많이 있음,
user19,000000015581,critical,부분적으로 맞음,많이 있음,
user19,000000015525,critical,부분적으로 맞음,많이 있음,
user19,000000015518,critical,아님,없음,
user19,000000015486,critical,아님,많이 있음,
user19,000000015474,critical,부분적으로 맞음,많이 있음,
user19,000000015391,critical,아님,많이 있음,
user19,000000015386,critical,부분적으로 맞음,많이 있음,
user19,000000015345,critical,대체로 맞음,많이 있음,
user17,000000015050,critical,맞음,많이 있음,
user17,000000015006,critical,대체로 맞음,많이 있음,
