scope,reviewer_id,question,question_name,answer,severity,response_count,question_total,ratio,pct,,,,,,
all_answers,user1,Q1,label_exists,예,good,1134,1217,0.93179951,93.18,,,,,,
all_answers,user1,Q1,label_exists,판단불가,soft,37,1217,0.03040263,3.0403,,,,,,
all_answers,user1,Q1,label_exists,아니오,critical,46,1217,0.03779786,3.7798,,,,,,
all_answers,user2,Q1,label_exists,예,good,1150,1258,0.91414944,91.4149,,,,,,
all_answers,user2,Q1,label_exists,판단불가,soft,54,1258,0.04292528,4.2925,,,,,,
all_answers,user2,Q1,label_exists,아니오,critical,54,1258,0.04292528,4.2925,,,,,,
all_answers,user3,Q1,label_exists,예,good,1180,1244,0.94855305,94.8553,,,,,,예
all_answers,user3,Q1,label_exists,판단불가,soft,7,1244,0.00562701,0.5627,,,,,,
all_answers,user3,Q1,label_exists,아니오,critical,57,1244,0.04581994,4.582,,,,,,
all_answers,user4,Q1,label_exists,예,good,1237,1360,0.90955882,90.9559,,,,,,
all_answers,user4,Q1,label_exists,판단불가,soft,40,1360,0.02941176,2.9412,,,,,,
all_answers,user4,Q1,label_exists,아니오,critical,83,1360,0.06102941,6.1029,,,,,,
all_answers,user5,Q1,label_exists,예,good,1069,1157,0.92394123,92.3941,,,,,,
all_answers,user5,Q1,label_exists,판단불가,soft,13,1157,0.01123596,1.1236,,,,,,
all_answers,user5,Q1,label_exists,아니오,critical,75,1157,0.06482282,6.4823,,,,,,
all_answers,user6,Q1,label_exists,예,good,1200,1288,0.93167702,93.1677,,,,,,
all_answers,user6,Q1,label_exists,판단불가,soft,26,1288,0.02018634,2.0186,,,,,,
all_answers,user6,Q1,label_exists,아니오,critical,62,1288,0.04813665,4.8137,,,,,,
all_answers,user7,Q1,label_exists,예,good,1240,1360,0.91176471,91.1765,,,,,,
all_answers,user7,Q1,label_exists,판단불가,soft,11,1360,0.00808824,0.8088,,,,,,
all_answers,user7,Q1,label_exists,아니오,critical,109,1360,0.08014706,8.0147,,,,,,
all_answers,user8,Q1,label_exists,예,good,1077,1124,0.95818505,95.8185,,,,,,
all_answers,user8,Q1,label_exists,판단불가,soft,6,1124,0.00533808,0.5338,,,,,,
all_answers,user8,Q1,label_exists,아니오,critical,41,1124,0.03647687,3.6477,,,,,,
all_answers,user9,Q1,label_exists,예,good,1188,1256,0.94585987,94.586,,,,,,
all_answers,user9,Q1,label_exists,판단불가,soft,30,1256,0.02388535,2.3885,,,,,,
all_answers,user9,Q1,label_exists,아니오,critical,38,1256,0.03025478,3.0255,,,,,,
all_answers,user10,Q1,label_exists,예,good,1169,1242,0.94122383,94.1224,,,,,,
all_answers,user10,Q1,label_exists,판단불가,soft,14,1242,0.01127214,1.1272,,,,,,
all_answers,user10,Q1,label_exists,아니오,critical,59,1242,0.04750403,4.7504,,,,,,
all_answers,user11,Q1,label_exists,예,good,1234,1411,0.87455705,87.4557,,,,,,
all_answers,user11,Q1,label_exists,판단불가,soft,103,1411,0.07299787,7.2998,,,,,,
all_answers,user11,Q1,label_exists,아니오,critical,74,1411,0.05244507,5.2445,,,,,,
all_answers,user12,Q1,label_exists,예,good,1229,1304,0.94248466,94.2485,,,,,,
all_answers,user12,Q1,label_exists,판단불가,soft,18,1304,0.01380368,1.3804,,,,,,
all_answers,user12,Q1,label_exists,아니오,critical,57,1304,0.04371166,4.3712,,,,,,
all_answers,user13,Q1,label_exists,예,good,1125,1192,0.94379195,94.3792,,,,,,
all_answers,user13,Q1,label_exists,판단불가,soft,37,1192,0.03104027,3.104,,,,,,
all_answers,user13,Q1,label_exists,아니오,critical,30,1192,0.02516779,2.5168,,,,,,
all_answers,user14,Q1,label_exists,예,good,1284,1382,0.92908828,92.9088,,,,,,
all_answers,user14,Q1,label_exists,판단불가,soft,8,1382,0.00578871,0.5789,,,,,,
all_answers,user14,Q1,label_exists,아니오,critical,90,1382,0.06512301,6.5123,,,,,,
all_answers,user15,Q1,label_exists,예,good,1219,1296,0.94058642,94.0586,,,,,,
all_answers,user15,Q1,label_exists,판단불가,soft,13,1296,0.01003086,1.0031,,,,,,
all_answers,user15,Q1,label_exists,아니오,critical,64,1296,0.04938272,4.9383,,,,,,
all_answers,user16,Q1,label_exists,예,good,1165,1265,0.92094862,92.0949,,,,,,
all_answers,user16,Q1,label_exists,판단불가,soft,9,1265,0.00711462,0.7115,,,,,,
all_answers,user16,Q1,label_exists,아니오,critical,91,1265,0.07193676,7.1937,,,,,,
all_answers,user17,Q1,label_exists,예,good,954,1048,0.91030534,91.0305,,,,,,
all_answers,user17,Q1,label_exists,판단불가,soft,24,1048,0.02290076,2.2901,,,,,,
all_answers,user17,Q1,label_exists,아니오,critical,70,1048,0.06679389,6.6794,,,,,,
all_answers,user18,Q1,label_exists,예,good,1288,1344,0.95833333,95.8333,,,,,,
all_answers,user18,Q1,label_exists,판단불가,soft,3,1344,0.00223214,0.2232,,,,,,
all_answers,user18,Q1,label_exists,아니오,critical,53,1344,0.03943452,3.9435,,,,,,
